P( Et | Xt ): 
P(_|_) = 0.999044468945
P(a|_) = 3.67511944138e-05
P(b|_) = 3.67511944138e-05
P(c|_) = 3.67511944138e-05
P(d|_) = 3.67511944138e-05
P(e|_) = 3.67511944138e-05
P(f|_) = 3.67511944138e-05
P(g|_) = 3.67511944138e-05
P(h|_) = 3.67511944138e-05
P(i|_) = 3.67511944138e-05
P(j|_) = 3.67511944138e-05
P(k|_) = 3.67511944138e-05
P(l|_) = 3.67511944138e-05
P(m|_) = 3.67511944138e-05
P(n|_) = 3.67511944138e-05
P(o|_) = 3.67511944138e-05
P(p|_) = 3.67511944138e-05
P(q|_) = 3.67511944138e-05
P(r|_) = 3.67511944138e-05
P(s|_) = 3.67511944138e-05
P(t|_) = 3.67511944138e-05
P(u|_) = 3.67511944138e-05
P(v|_) = 3.67511944138e-05
P(w|_) = 3.67511944138e-05
P(x|_) = 3.67511944138e-05
P(y|_) = 3.67511944138e-05
P(z|_) = 3.67511944138e-05
P(_|a) = 0.000100938730191
P(a|a) = 0.794791561522
P(b|a) = 0.000100938730191
P(c|a) = 0.000100938730191
P(d|a) = 0.000100938730191
P(e|a) = 0.000100938730191
P(f|a) = 0.000100938730191
P(g|a) = 0.000100938730191
P(h|a) = 0.000100938730191
P(i|a) = 0.000100938730191
P(j|a) = 0.000100938730191
P(k|a) = 0.000100938730191
P(l|a) = 0.000100938730191
P(m|a) = 0.000100938730191
P(n|a) = 0.000100938730191
P(o|a) = 0.000100938730191
P(p|a) = 0.000100938730191
P(q|a) = 0.068234581609
P(r|a) = 0.000100938730191
P(s|a) = 0.0688402139901
P(t|a) = 0.000100938730191
P(u|a) = 0.000100938730191
P(v|a) = 0.000100938730191
P(w|a) = 0.000100938730191
P(x|a) = 0.000100938730191
P(y|a) = 0.000100938730191
P(z|a) = 0.0658120520844
P(_|b) = 0.000506585612969
P(a|b) = 0.000506585612969
P(b|b) = 0.798885511651
P(c|b) = 0.000506585612969
P(d|b) = 0.000506585612969
P(e|b) = 0.000506585612969
P(f|b) = 0.000506585612969
P(g|b) = 0.0460992907801
P(h|b) = 0.0435663627153
P(i|b) = 0.000506585612969
P(j|b) = 0.000506585612969
P(k|b) = 0.000506585612969
P(l|b) = 0.000506585612969
P(m|b) = 0.000506585612969
P(n|b) = 0.0531914893617
P(o|b) = 0.000506585612969
P(p|b) = 0.000506585612969
P(q|b) = 0.000506585612969
P(r|b) = 0.000506585612969
P(s|b) = 0.000506585612969
P(t|b) = 0.000506585612969
P(u|b) = 0.000506585612969
P(v|b) = 0.0471124620061
P(w|b) = 0.000506585612969
P(x|b) = 0.000506585612969
P(y|b) = 0.000506585612969
P(z|b) = 0.000506585612969
P(_|c) = 0.000220361392684
P(a|c) = 0.000220361392684
P(b|c) = 0.000220361392684
P(c|c) = 0.793521375055
P(d|c) = 0.0449537241075
P(e|c) = 0.000220361392684
P(f|c) = 0.0528867342442
P(g|c) = 0.000220361392684
P(h|c) = 0.000220361392684
P(i|c) = 0.000220361392684
P(j|c) = 0.000220361392684
P(k|c) = 0.000220361392684
P(l|c) = 0.000220361392684
P(m|c) = 0.000220361392684
P(n|c) = 0.000220361392684
P(o|c) = 0.000220361392684
P(p|c) = 0.000220361392684
P(q|c) = 0.000220361392684
P(r|c) = 0.000220361392684
P(s|c) = 0.000220361392684
P(t|c) = 0.000220361392684
P(u|c) = 0.000220361392684
P(v|c) = 0.0537681798149
P(w|c) = 0.000220361392684
P(x|c) = 0.0500220361393
P(y|c) = 0.000220361392684
P(z|c) = 0.000220361392684
P(_|d) = 0.000232991612302
P(a|d) = 0.000232991612302
P(b|d) = 0.000232991612302
P(c|d) = 0.0410065237651
P(d|d) = 0.801025163094
P(e|d) = 0.0405405405405
P(f|d) = 0.0337837837838
P(g|d) = 0.000232991612302
P(h|d) = 0.000232991612302
P(i|d) = 0.000232991612302
P(j|d) = 0.000232991612302
P(k|d) = 0.000232991612302
P(l|d) = 0.000232991612302
P(m|d) = 0.000232991612302
P(n|d) = 0.000232991612302
P(o|d) = 0.000232991612302
P(p|d) = 0.000232991612302
P(q|d) = 0.000232991612302
P(r|d) = 0.000232991612302
P(s|d) = 0.0405405405405
P(t|d) = 0.000232991612302
P(u|d) = 0.000232991612302
P(v|d) = 0.000232991612302
P(w|d) = 0.000232991612302
P(x|d) = 0.0382106244175
P(y|d) = 0.000232991612302
P(z|d) = 0.000232991612302
P(_|e) = 5.9080704242e-05
P(a|e) = 5.9080704242e-05
