Initial probability: 
Pi(_) =0.168837379741
Pi(a) =0.0613700025465
Pi(b) =0.0120988528449
Pi(c) =0.028023626302
Pi(d) =0.0264957424211
Pi(e) =0.104964380431
Pi(f) =0.0192848758129
Pi(g) =0.0158378207159
Pi(h) =0.0389237735005
Pi(i) =0.0633388610433
Pi(j) =0.000621091008465
Pi(k) =0.00347810964741
Pi(l) =0.037048078655
Pi(m) =0.02201146534
Pi(n) =0.0568670927351
Pi(o) =0.0695994584086
Pi(p) =0.0189060102977
Pi(q) =0.00089437105219
Pi(r) =0.0480165458645
Pi(s) =0.0563515871981
Pi(t) =0.0803319110349
Pi(u) =0.0230673200544
Pi(v) =0.0111361617818
Pi(w) =0.0129249038862
Pi(x) =0.00162104753209
Pi(y) =0.0172166427547
Pi(z) =0.000732887389989
